id,date,store_nbr,family,sales,onpromotion
1047575,2014-08-12,51,MAGAZINES,0.0,0
1047576,2014-08-12,51,MEATS,508.262,0
1047577,2014-08-12,51,PERSONAL CARE,155.0,0
1047578,2014-08-12,51,PET SUPPLIES,0.0,0
1047579,2014-08-12,51,PLAYERS AND ELECTRONICS,0.0,0
1047580,2014-08-12,51,POULTRY,604.607,0
1047581,2014-08-12,51,PREPARED FOODS,113.311,0
1047582,2014-08-12,51,PRODUCE,7.0,0
1047583,2014-08-12,51,SCHOOL AND OFFICE SUPPLIES,0.0,0
1047584,2014-08-12,51,SEAFOOD,30.992,0
1047585,2014-08-12,52,AUTOMOTIVE,0.0,0
1047586,2014-08-12,52,BABY CARE,0.0,0
1047587,2014-08-12,52,BEAUTY,0.0,0
1047588,2014-08-12,52,BEVERAGES,0.0,0
1047589,2014-08-12,52,BOOKS,0.0,0
1047590,2014-08-12,52,BREAD/BAKERY,0.0,0
1047591,2014-08-12,52,CELEBRATION,0.0,0
1047592,2014-08-12,52,CLEANING,0.0,0
1047593,2014-08-12,52,DAIRY,0.0,0
1047594,2014-08-12,52,DELI,0.0,0
1047595,2014-08-12,52,EGGS,0.0,0
1047596,2014-08-12,52,FROZEN FOODS,0.0,0
1047597,2014-08-12,52,GROCERY I,0.0,0
1047598,2014-08-12,52,GROCERY II,0.0,0
1047599,2014-08-12,52,HARDWARE,0.0,0
1047600,2014-08-12,52,HOME AND KITCHEN I,0.0,0
1047601,2014-08-12,52,HOME AND KITCHEN II,0.0,0
1047602,2014-08-12,52,HOME APPLIANCES,0.0,0
1047603,2014-08-12,52,HOME CARE,0.0,0
1047604,2014-08-12,52,LADIESWEAR,0.0,0
1047605,2014-08-12,52,LAWN AND GARDEN,0.0,0
1047606,2014-08-12,52,LINGERIE,0.0,0
"1047607,2014-08-12,52,""LIQUOR,WINE,BEER"",0.0,0"
1047608,2014-08-12,52,MAGAZINES,0.0,0
1047609,2014-08-12,52,MEATS,0.0,0
1047610,2014-08-12,52,PERSONAL CARE,0.0,0
1047611,2014-08-12,52,PET SUPPLIES,0.0,0
1047612,2014-08-12,52,PLAYERS AND ELECTRONICS,0.0,0
1047613,2014-08-12,52,POULTRY,0.0,0
1047614,2014-08-12,52,PREPARED FOODS,0.0,0
1047615,2014-08-12,52,PRODUCE,0.0,0
1047616,2014-08-12,52,SCHOOL AND OFFICE SUPPLIES,0.0,0
1047617,2014-08-12,52,SEAFOOD,0.0,0
1047618,2014-08-12,53,AUTOMOTIVE,3.0,0
1047619,2014-08-12,53,BABY CARE,0.0,0
1047620,2014-08-12,53,BEAUTY,0.0,0
1047621,2014-08-12,53,BEVERAGES,357.0,1
1047622,2014-08-12,53,BOOKS,0.0,0
1047623,2014-08-12,53,BREAD/BAKERY,259.231,0
1047624,2014-08-12,53,CELEBRATION,0.0,0
1047625,2014-08-12,53,CLEANING,402.0,0
1047626,2014-08-12,53,DAIRY,231.0,0
1047627,2014-08-12,53,DELI,91.686,0
1047628,2014-08-12,53,EGGS,58.0,0
1047629,2014-08-12,53,FROZEN FOODS,33.0,0
1047630,2014-08-12,53,GROCERY I,1180.0,6
1047631,2014-08-12,53,GROCERY II,4.0,0
1047632,2014-08-12,53,HARDWARE,1.0,0
1047633,2014-08-12,53,HOME AND KITCHEN I,0.0,0
1047634,2014-08-12,53,HOME AND KITCHEN II,0.0,0
1047635,2014-08-12,53,HOME APPLIANCES,0.0,0
1047636,2014-08-12,53,HOME CARE,0.0,0
1047637,2014-08-12,53,LADIESWEAR,0.0,0
1047638,2014-08-12,53,LAWN AND GARDEN,0.0,0
1047639,2014-08-12,53,LINGERIE,11.0,0
"1047640,2014-08-12,53,""LIQUOR,WINE,BEER"",33.0,0"
1047641,2014-08-12,53,MAGAZINES,0.0,0
1047642,2014-08-12,53,MEATS,108.242,0
1047643,2014-08-12,53,PERSONAL CARE,79.0,0
1047644,2014-08-12,53,PET SUPPLIES,0.0,0
1047645,2014-08-12,53,PLAYERS AND ELECTRONICS,0.0,0
1047646,2014-08-12,53,POULTRY,99.208,0
1047647,2014-08-12,53,PREPARED FOODS,43.666,0
1047648,2014-08-12,53,PRODUCE,2.0,0
1047649,2014-08-12,53,SCHOOL AND OFFICE SUPPLIES,0.0,0
1047650,2014-08-12,53,SEAFOOD,0.0,0
1047651,2014-08-12,54,AUTOMOTIVE,2.0,0
1047652,2014-08-12,54,BABY CARE,0.0,0
1047653,2014-08-12,54,BEAUTY,0.0,0
1047654,2014-08-12,54,BEVERAGES,579.0,2
1047655,2014-08-12,54,BOOKS,0.0,0
1047656,2014-08-12,54,BREAD/BAKERY,231.0,0
1047657,2014-08-12,54,CELEBRATION,0.0,0
1047658,2014-08-12,54,CLEANING,717.0,0
1047659,2014-08-12,54,DAIRY,109.0,0
1047660,2014-08-12,54,DELI,150.0,0
1047661,2014-08-12,54,EGGS,83.0,0
1047662,2014-08-12,54,FROZEN FOODS,18.0,0
1047663,2014-08-12,54,GROCERY I,1819.0,1
1047664,2014-08-12,54,GROCERY II,8.0,0
1047665,2014-08-12,54,HARDWARE,1.0,0
1047666,2014-08-12,54,HOME AND KITCHEN I,0.0,0
1047667,2014-08-12,54,HOME AND KITCHEN II,0.0,0
1047668,2014-08-12,54,HOME APPLIANCES,0.0,0
1047669,2014-08-12,54,HOME CARE,0.0,0
1047670,2014-08-12,54,LADIESWEAR,0.0,0
1047671,2014-08-12,54,LAWN AND GARDEN,0.0,0
1047672,2014-08-12,54,LINGERIE,5.0,0
"1047673,2014-08-12,54,""LIQUOR,WINE,BEER"",1.0,0"
1047674,2014-08-12,54,MAGAZINES,0.0,0
1047675,2014-08-12,54,MEATS,35.527,0
1047676,2014-08-12,54,PERSONAL CARE,103.0,0
1047677,2014-08-12,54,PET SUPPLIES,0.0,0
1047678,2014-08-12,54,PLAYERS AND ELECTRONICS,0.0,0
1047679,2014-08-12,54,POULTRY,43.287,0
1047680,2014-08-12,54,PREPARED FOODS,63.0,0
1047681,2014-08-12,54,PRODUCE,0.0,0
1047682,2014-08-12,54,SCHOOL AND OFFICE SUPPLIES,0.0,0
1047683,2014-08-12,54,SEAFOOD,0.0,0
1047684,2014-08-12,6,AUTOMOTIVE,0.0,0
